	division	esr	region	express	source	iso3166	osm_id	lat	lon	name	station_type_en	railway
5	Петрозаводское	10002	Республика Карелия	2004300.0	karel	RU-KR	665115765.0	61.78421783	34.34402084	Петрозаводск-Пассажирский	station	Октябрьская
8		10110	Республика Карелия		karel	RU-KR				ПЕТРОЗАВОДСК-ГОЛ		Октябрьская
9		10125	Республика Карелия		karel	RU-KR				ПЕТРОЗАВОДСК-ТОМ		Октябрьская
13	Петрозаводское	10205	Республика Карелия	2004775.0	karel	RU-KR				ГОЛИКОВКА		Октябрьская
14	Петрозаводское	10214	Республика Карелия	2004775.0	karel	RU-KR				Голиковка		Октябрьская
16		10303	Республика Карелия		karel	RU-KR				Томицы		Октябрьская
17	Петрозаводское	10318	Республика Карелия	2004446.0	karel	RU-KR	370804.0	61.88643265	34.24979401	Шуйский Мост	halt	Октябрьская
18	Петрозаводское	10322	Республика Карелия	2004329.0	karel	RU-KR				Томицы		Октябрьская
19		10337	Республика Карелия		karel	RU-KR				417 км		Октябрьская
20		10341	Республика Карелия	2006332.0	karel	RU-KR				528 км		Октябрьская
23	Петрозаводское	10407	Республика Карелия	2004330.0	karel	RU-KR	370656.0	61.94111252	34.25039291	Шуйская	station	Октябрьская
24	Петрозаводское	10411	Республика Карелия	2004924.0	karel	RU-KR	1328926694.0	61.98009872	34.24554825	427 км	halt	Октябрьская
25	Петрозаводское	10426	Республика Карелия	2004331.0	karel	RU-KR	1424435426.0	62.03767776	34.21403503	Лучевой	station	Октябрьская
26	Петрозаводское	10500	Республика Карелия	2004332.0	karel	RU-KR	26919789.0	62.11172485	34.24343872	Суна	station	Октябрьская
27	Петрозаводское	10515	Республика Карелия	2005411.0	karel	RU-KR	26904534.0	62.06446457	34.23099136	437 км	station	Октябрьская
28	Петрозаводское	10604	Республика Карелия	2004333.0	karel	RU-KR	26919754.0	62.16843796	34.20512009	Заделье	halt	Октябрьская
29	Петрозаводское	10623	Республика Карелия	2006334.0	karel	RU-KR	3417936032.0	62.20711136	34.22889328	454 км	halt	Октябрьская
33	Петрозаводское	10708	Республика Карелия	2004334.0	karel	RU-KR	26919691.0	62.20932007	34.27616501	Кондопога	station	Октябрьская
34	Петрозаводское	10712	Республика Карелия	2006335.0	karel	RU-KR	3417934261.0	62.23991394	34.43766785	468 км	halt	Октябрьская
35	Петрозаводское	10727	Республика Карелия	2004336.0	karel	RU-KR	26918764.0	62.26054764	34.44886398	Мянсельга	station	Октябрьская
36	Петрозаводское	10731	Республика Карелия	2004337.0	karel	RU-KR	26918733.0	62.29930496	34.51671219	Илемсельга	station	Октябрьская
39	Петрозаводское	10801	Республика Карелия	2004338.0	karel	RU-KR	26918704.0	62.36235428	34.48793793	Кедрозеро	station	Октябрьская
40		10816	Республика Карелия	2006336.0	karel	RU-KR	3417932494.0	62.38610077	34.47196579	489 км	halt	Октябрьская
41	Петрозаводское	10820	Республика Карелия	2004339.0	karel	RU-KR	1424435421.0	62.41857147	34.43115997	Лижма	station	Октябрьская
42	Петрозаводское	10835	Республика Карелия	2004340.0	karel	RU-KR				Новый Поселок		Октябрьская
43	Петрозаводское	10843	Республика Карелия	2004341.0	karel	RU-KR	1424435369.0	62.58838272	34.28704453	Викшезеро	halt	Октябрьская
44		10854	Республика Карелия	2006337.0	karel	RU-KR	1338917317.0	62.64903259	34.25554276	522 км	halt	Октябрьская
45	Петрозаводское	10905	Республика Карелия	2004335.0	karel	RU-KR	244602700.0	62.22364426	34.33430481	Нигозеро	station	Октябрьская
46	Петрозаводское	11005	Республика Карелия	2004342.0	karel	RU-KR	26919441.0	62.6740799	34.26928329	Кяппесельга	station	Октябрьская
47	Петрозаводское	11015	Республика Карелия	2004343.0	karel	RU-KR	1338917333.0	62.7390976	34.3612175	Уница	halt	Октябрьская
49	Петрозаводское	11109	Республика Карелия	2004344.0	karel	RU-KR	1424435449.0	62.80158234	34.45722198	Пергуба	station	Октябрьская
50	Петрозаводское	11113	Республика Карелия	2004345.0	karel	RU-KR	1424435457.0	62.853508	34.43981934	Предмедгорский	station	Октябрьская
51		11128	Республика Карелия	2006338.0	karel	RU-KR				553 км		Октябрьская
53	Петрозаводское	11202	Республика Карелия		karel	RU-KR	1616657817.0	62.83857346	34.46658325	Прионежская	station	Октябрьская
56	Петрозаводское	11306	Республика Карелия	2004692.0	karel	RU-KR	26993776.0	62.90855408	34.44932556	Медвежья Гора	station	Октябрьская
57	Петрозаводское	11400	Республика Карелия	2004346.0	karel	RU-KR	1424435385.0	62.93156433	34.54547501	Вичка	station	Октябрьская
58	Петрозаводское	11414	Республика Карелия	2004347.0	karel	RU-KR	1424435423.0	62.98456955	34.49970627	Лумбушозеро	halt	Октябрьская
59	Петрозаводское	11429	Республика Карелия	2004348.0	karel	RU-KR	1424435438.0	63.04853439	34.43111038	Малыга	station	Октябрьская
60	Петрозаводское	11433	Республика Карелия	2004349.0	karel	RU-KR	379736.0	63.10499573	34.38787079	Ванзозеро	halt	Октябрьская
61		11503	Республика Карелия	2004340.0	karel	RU-KR	1616497596.0	62.48950958	34.35131073	Новый Посёлок	station	Октябрьская
62	Петрозаводское	11518	Республика Карелия	2004350.0	karel	RU-KR	1424435366.0	63.22071075	34.3466568	Быстряги	station	Октябрьская
63	Петрозаводское	11522	Республика Карелия	2004351.0	karel	RU-KR	2154979338.0	63.27685547	34.31671143	Раменцы	station	Октябрьская
64	Петрозаводское	11537	Республика Карелия	2004694.0	karel	RU-KR	2154838396.0	63.34568024	34.32598495	Сумеричи	station	Октябрьская
65	Петрозаводское	11541	Республика Карелия	2004693.0	karel	RU-KR	386609.0	63.15102386	34.30173492	Масельская	station	Октябрьская
66	Петрозаводское	11607	Республика Карелия		karel	RU-KR				Прионежская (перев.)		Октябрьская
67	Петрозаводское	11715	Республика Карелия	2004352.0	karel	RU-KR	26870590.0	63.52186966	34.26821136	Суглица	station	Октябрьская
68	Петрозаводское	11720	Республика Карелия	2004353.0	karel	RU-KR	1424435461.0	63.60190201	34.29740906	Ригозеро	halt	Октябрьская
69	Петрозаводское	11734	Республика Карелия	2004354.0	karel	RU-KR				Шпаловой		Октябрьская
70	Петрозаводское	11749	Республика Карелия	2004695.0	karel	RU-KR	26870641.0	63.4377327	34.24414444	Уросозеро	station	Октябрьская
71	Петрозаводское	11804	Республика Карелия	2004696.0	karel	RU-KR	4017835695.0	63.74424362	34.30266571	Сегежа	station	Октябрьская
72	Петрозаводское	11819	Республика Карелия	2004355.0	karel	RU-KR	676527941.0	63.81563568	34.25279999	Май-Губа	station	Октябрьская
73	Петрозаводское	11908	Республика Карелия	2004697.0	karel	RU-KR	2102346776.0	63.89356613	34.26830673	Надвоицы	station	Октябрьская
74	Петрозаводское	11912	Республика Карелия	2005356.0	karel	RU-KR	276732361.0	63.94480133	34.23610687	Шавань	station	Октябрьская
75		11927	Республика Карелия		karel	RU-KR	276732605.0	63.98477936	34.18978119	704 км	halt	Октябрьская
76	Петрозаводское	12008	Республика Карелия	2004698.0	karel	RU-KR	1424435410.0	64.03502655	34.24767685	Кочкома	station	Октябрьская
77	Петрозаводское	12101	Республика Карелия	2004699.0	karel	RU-KR	676519826.0	64.13703918	34.2457428	Идель	station	Октябрьская
78	Петрозаводское	12116	Республика Карелия	2005357.0	karel	RU-KR	276733367.0	64.22820282	34.30392838	Тунгуда	station	Октябрьская
79		12120	Республика Карелия		karel	RU-KR				741 км		Октябрьская
80		12135	Республика Карелия		karel	RU-KR				730 км		Октябрьская
81	Петрозаводское	12205	Республика Карелия	2004701.0	karel	RU-KR	206187941.0	64.30207825	34.41853714	Летний	station	Октябрьская
82	Петрозаводское	12205	Республика Карелия	2004701.0	karel	RU-KR	2002865725.0	64.30197906	34.4192009	Летний	station	Октябрьская
83	Петрозаводское	12210	Республика Карелия	2004358.0	karel	RU-KR	276733592.0	64.36571503	34.42908859	Кильбо	halt	Октябрьская
84	Петрозаводское	12309	Республика Карелия	2004359.0	karel	RU-KR	276733626.0	64.4311676	34.46925354	Сосновец	station	Октябрьская
85	Петрозаводское	12313	Республика Карелия	2004360.0	karel	RU-KR	5266612278.0	64.49071503	34.57571411	Уда	station	Октябрьская
86	Петрозаводское	12328	Республика Карелия	2004361.0	karel	RU-KR	676517416.0	64.51644135	34.66435623	Горелый Мост	station	Октябрьская
87	Петрозаводское	12385	Республика Карелия		karel	RU-KR				МАЛЕНЬГА САИПС		Октябрьская
88	Петрозаводское	12397	Республика Карелия	2004371.0	karel	RU-KR	276635434.0	63.85428619	36.46100235	Маленьга	station	Октябрьская
89		12421	Республика Карелия	2006360.0	karel	RU-KR				122 км		Октябрьская
90	Петрозаводское	12510	Республика Карелия	2004369.0	karel	RU-KR	1616557186.0	63.97019196	36.1122818	Руйга	station	Октябрьская
91	Петрозаводское	12525	Республика Карелия	2005144.0	karel	RU-KR	276635284.0	64.0137558	36.00450134	Вирандозеро	halt	Октябрьская
92		12530	Республика Карелия	2006359.0	karel	RU-KR				102 км		Октябрьская
93	Петрозаводское	12544	Республика Карелия	2004370.0	karel	RU-KR	276635372.0	63.90993118	36.25744629	Нюхча	station	Октябрьская
94	Петрозаводское	12614	Республика Карелия	2004367.0	karel	RU-KR	276635224.0	64.11831665	35.72761536	Колежма	station	Октябрьская
95	Петрозаводское	12629	Республика Карелия	2004366.0	karel	RU-KR	276635159.0	64.19023895	35.55460358	Тегозеро	station	Октябрьская
96	Петрозаводское	12633	Республика Карелия	2004368.0	karel	RU-KR	276635253.0	64.04734039	35.91553879	Ухтица	station	Октябрьская
97		12648	Республика Карелия	2006358.0	karel	RU-KR				75 км		Октябрьская
98		12652	Республика Карелия	2006355.0	karel	RU-KR				61 км		Октябрьская
99	Петрозаводское	12703	Республика Карелия	2004703.0	karel	RU-KR	276635071.0	64.24757385	35.39093781	Сумский Посад	station	Октябрьская
100	Петрозаводское	12718	Республика Карелия	2004365.0	karel	RU-KR	1425068823.0	64.32012939	35.24569321	Вирма	station	Октябрьская
101	Петрозаводское	12722	Республика Карелия	2004364.0	karel	RU-KR	276634958.0	64.39041138	35.00601959	Сухое	station	Октябрьская
102	Петрозаводское	12737	Республика Карелия	2004363.0	karel	RU-KR	276634883.0	64.47144318	34.78826904	Шижня	station	Октябрьская
103	Петрозаводское	12741	Республика Карелия	2004362.0	karel	RU-KR	2160191219.0	64.50848389	34.72225189	Выг	station	Октябрьская
104		12756	Республика Карелия	2006354.0	karel	RU-KR				42 км		Октябрьская
105		12760	Республика Карелия	2006353.0	karel	RU-KR				38 км		Октябрьская
106		12775	Республика Карелия	2006352.0	karel	RU-KR				27 км		Октябрьская
107		12782	Республика Карелия	2006351.0	karel	RU-KR	3417773995.0	64.48648834	34.75692749	14 км	halt	Октябрьская
108		12794	Республика Карелия	2006350.0	karel	RU-KR	3417772997.0	64.51703644	34.69688416	9 км	halt	Октябрьская
109	Петрозаводское	12807	Республика Карелия		karel	RU-KR				Медвежья Гора (перев.)		Октябрьская
110		12991	Республика Карелия		karel	RU-KR				БЕЛОМОРСК-НЕЧ		Октябрьская
111	Петрозаводское	13000	Республика Карелия	2004702.0	karel	RU-KR	1280208197.0	64.54123688	34.77540207	Беломорск	station	Октябрьская
112	Петрозаводское	13015	Республика Карелия	2004372.0	karel	RU-KR	1616514281.0	64.66259766	34.80079269	Заливы	halt	Октябрьская
113	Петрозаводское	13119	Республика Карелия	2004373.0	karel	RU-KR	276735030.0	64.86296082	34.6701889	Мягрека	station	Октябрьская
114	Петрозаводское	13123	Республика Карелия	2004704.0	karel	RU-KR	276734544.0	64.73918915	34.69934082	Шуерецкая	station	Октябрьская
115		13138	Республика Карелия		karel	RU-KR	5268123925.0	64.76509094	34.6460228	813 км	halt	Октябрьская
116		13142	Республика Карелия		karel	RU-KR	1616514282.0	64.61907959	34.7894516	791 км	halt	Октябрьская
117		13157	Республика Карелия		karel	RU-KR	7541310036.0	64.80710602	34.65005112	818 км	halt	Октябрьская
118		13161	Республика Карелия		karel	RU-KR				БЕЛОМОРСК-ВЫГ		Октябрьская
119		13176	Республика Карелия		karel	RU-KR				БЕЛОМ-БП 791 КМ		Октябрьская
120		13180	Республика Карелия		karel	RU-KR				БЕЛОМ-Г МОСТ		Октябрьская
121	Петрозаводское	13208	Республика Карелия	2004720.0	karel	RU-KR	8257618077.0	64.95523834	34.57009506	Кемь	station	Октябрьская
122	Петрозаводское	13212	Республика Карелия	2004925.0	karel	RU-KR	276736462.0	65.02304077	34.61935425	846 км	halt	Октябрьская
123	Петрозаводское	13227	Республика Карелия	2004374.0	karel	RU-KR	4333789344.0	65.08992767	34.58300018	Ламбино	station	Октябрьская
124	Петрозаводское	13231	Республика Карелия	2004375.0	karel	RU-KR	1392155393.0	65.24330139	34.4650383	Поньгома	station	Октябрьская
125	Петрозаводское	13246	Республика Карелия	2004926.0	karel	RU-KR	276738066.0	65.30200195	34.36745834	883 км	halt	Октябрьская
126	Петрозаводское	13250	Республика Карелия	2005014.0	karel	RU-KR	1418018383.0	64.99028015	34.78656769	Кемь-Пристань	station	Октябрьская
127		13265	Республика Карелия		karel	RU-KR	276737211.0	65.16005707	34.53549576	863 км	halt	Октябрьская
128	Петрозаводское	13301	Республика Карелия		karel	RU-KR				Беломорск (перев.)		Октябрьская
129	Петрозаводское	13509	Республика Карелия	2004705.0	karel	RU-KR	276738212.0	65.35386658	34.26403427	Кузема	station	Октябрьская
130	Петрозаводское	13513	Республика Карелия	2004376.0	karel	RU-KR	1424435389.0	65.42424011	34.26745987	Воньга	halt	Октябрьская
131	Петрозаводское	13528	Республика Карелия	2004377.0	karel	RU-KR	1424435462.0	65.57349396	34.20231628	Сиг	station	Октябрьская
132		13532	Республика Карелия	2006339.0	karel	RU-KR				908 км		Октябрьская
133		13547	Республика Карелия	2006340.0	karel	RU-KR				912 км		Октябрьская
134		13551	Республика Карелия	2006341.0	karel	RU-KR				923 км		Октябрьская
135		13566	Республика Карелия	2006342.0	karel	RU-KR				УНДУСА		Октябрьская
136		13570	Республика Карелия	2006343.0	karel	RU-KR	276739625.0	65.71881104	34.05354691	935 км	halt	Октябрьская
137		13585	Республика Карелия	2006344.0	karel	RU-KR				942 км		Октябрьская
138	Петрозаводское	13602	Республика Карелия	2004706.0	karel	RU-KR	683061225.0	65.7900238	33.9444313	Энгозеро	station	Октябрьская
139		13617	Республика Карелия	2006345.0	karel	RU-KR	276755476.0	65.84147644	33.82757568	957 км	halt	Октябрьская
140	Петрозаводское	13706	Республика Карелия	2004707.0	karel	RU-KR	276756095.0	65.89768982	33.70964432	Амбарный	station	Октябрьская
141	Петрозаводское	13710	Республика Карелия	2004378.0	karel	RU-KR	276756570.0	65.96250153	33.35416794	Боярская	station	Октябрьская
142		13725	Республика Карелия	2006347.0	karel	RU-KR	3416675234.0	65.9485321	33.4318924	981 км	halt	Октябрьская
143		13735	Республика Карелия	2006346.0	karel	RU-KR				976 км		Октябрьская
144		13744	Республика Карелия	2006348.0	karel	RU-KR				988 км		Октябрьская
145		13759	Республика Карелия	2006349.0	karel	RU-KR				993 км		Октябрьская
146	Мурманское	13801	Республика Карелия	2004708.0	karel	RU-KR	276757167.0	66.07538605	33.05914307	Лоухи	station	Октябрьская
147		13814	Республика Карелия		karel	RU-KR				ЛОУХИ-ПЕРЕДАТОЧНАЯ		Октябрьская
148	Мурманское	13829	Республика Карелия	2004379.0	karel	RU-KR	276758030.0	66.19783783	32.90111923	Кереть	station	Октябрьская
149		13848	Республика Карелия		karel	RU-KR				1008 км		Октябрьская
150	Мурманское	13852	Республика Карелия		karel	RU-KR				ЛОУХИ САИПС		Октябрьская
151	Мурманское	13903	Республика Карелия	2004233.0	karel	RU-KR	1616681527.0	66.0042572	32.38169479	Еловая	station	Октябрьская
152	Мурманское	14003	Республика Карелия	2004234.0	karel	RU-KR	1616681535.0	65.89790344	31.83423615	Кестеньга	station	Октябрьская
153	Мурманское	14107	Республика Карелия		karel	RU-KR				Пяозеро		Октябрьская
154		14215	Мурманская область		murmansk	RU-MUR	3416175950.0	66.74150085	32.48669815	Гангос	halt	Октябрьская
155		14226	Мурманская область		murmansk	RU-MUR	276762869.0	66.84133911	32.34464264	1118 км	halt	Октябрьская
156		14234	Мурманская область		murmansk	RU-MUR				1168 км		Октябрьская
157	Мурманское	14304	Республика Карелия	2004709.0	karel	RU-KR	276758443.0	66.26634979	32.9666748	Чупа	station	Октябрьская
158	Мурманское	14319	Республика Карелия	2004380.0	karel	RU-KR	1424435408.0	66.30760193	32.92889023	Котозеро	halt	Октябрьская
159		14323	Республика Карелия		karel	RU-KR				1068 км		Октябрьская
160	Мурманское	14338	Республика Карелия	2004711.0	karel	RU-KR	276759738.0	66.43583679	32.85043716	Полярный Круг	station	Октябрьская
161	Мурманское	14342	Мурманская область		murmansk	RU-MUR	276761312.0	66.68553162	32.66383743	1093 км	halt	Октябрьская
162	Мурманское	14357	Мурманская область	2004712.0	murmansk	RU-MUR	4866950040.0	66.58660126	32.80942154	Пояконда	station	Октябрьская
163	Мурманское	14361	Мурманская область	2005329.0	murmansk	RU-MUR	276760992.0	66.63955688	32.74801254	Лесной	halt	Октябрьская
164	Мурманское	14376	Мурманская область	2004713.0	murmansk	RU-MUR	937887891.0	66.71188354	32.63928986	Ковда	station	Октябрьская
165		14380	Республика Карелия		karel	RU-KR				КАРЕЛЬСКИЙ		Октябрьская
166		14395	Республика Карелия		karel	RU-KR				УЗКИЙ		Октябрьская
167	Мурманское	14408	Мурманская область	2004714.0	murmansk	RU-MUR	683205028.0	66.81972504	32.35462952	Княжая	station	Октябрьская
168		14412	Республика Карелия		karel	RU-KR				1071 км		Октябрьская
169		14427	Республика Карелия		karel	RU-KR				1075 км		Октябрьская
170	Мурманское	14431	Мурманская область	2004381.0	murmansk	RU-MUR	937914024.0	66.92337799	32.20843506	Жемчужная	halt	Октябрьская
171	Мурманское	14450	Мурманская область	2004382.0	murmansk	RU-MUR	276764262.0	67.00610352	32.19226074	Ручьи-Карельские	station	Октябрьская
172	Мурманское	14465	Мурманская область		murmansk	RU-MUR	276764455.0	67.03540039	32.2036171	о.п. 1147 км	halt	Октябрьская
173		14484	Республика Карелия		karel	RU-KR				1064 км		Октябрьская
174	Мурманское	14516	Мурманская область	2005068.0	murmansk	RU-MUR	611407355.0	66.98516083	32.1356926	Кирки	halt	Октябрьская
175	Мурманское	14520	Мурманская область		murmansk	RU-MUR	1619941218.0	66.99833679	32.00342178	11 км	halt	Октябрьская
176	Мурманское	14535	Мурманская область		murmansk	RU-MUR	1619941222.0	67.00841522	31.92126465	16 км	halt	Октябрьская
177	Мурманское	14545	Мурманская область	2006108.0	murmansk	RU-MUR	611407223.0	67.00795746	31.85344505	Вуд-Озеро	halt	Октябрьская
178	Мурманское	14554	Мурманская область		murmansk	RU-MUR	611407219.0	67.01066589	31.83312035	20 км	halt	Октябрьская
179	Мурманское	14569	Мурманская область		murmansk	RU-MUR	1619941223.0	66.99758148	31.71718216	26 км	halt	Октябрьская
180	Мурманское	14573	Мурманская область	2005186.0	murmansk	RU-MUR	1526967143.0	66.95980835	31.66632843	Будасси	halt	Октябрьская
181	Мурманское	14588	Мурманская область		murmansk	RU-MUR				38 км		Октябрьская
182	Мурманское	14605	Мурманская область		murmansk	RU-MUR				Белое Море (эксп.)		Октябрьская
183	Мурманское	14611	Мурманская область	2005213.0	murmansk	RU-MUR	611407070.0	66.96260834	31.45433807	Ням-Озеро	station	Октябрьская
184	Мурманское	14624	Мурманская область	2005262.0	murmansk	RU-MUR	611407020.0	66.9364624	31.27833748	Тованд	halt	Октябрьская
185	Мурманское	14639	Мурманская область		murmansk	RU-MUR	611406954.0	66.95181274	31.14889526	57 км	halt	Октябрьская
186	Мурманское	14643	Мурманская область	2005274.0	murmansk	RU-MUR	611406837.0	66.96754456	31.02889824	Капраево	halt	Октябрьская
187	Мурманское	14658	Мурманская область		murmansk	RU-MUR	611406764.0	66.97021484	30.96684647	62 км	halt	Октябрьская
188		14662	Мурманская область		murmansk	RU-MUR				рзд. Верман		Октябрьская
189		14677	Мурманская область		murmansk	RU-MUR	1619940812.0	66.97664642	30.63753319	Войта	halt	Октябрьская
190	Мурманское	14681	Мурманская область		murmansk	RU-MUR	1619941226.0	66.95980072	30.47351456	93 км	halt	Октябрьская
191	Мурманское	14709	Мурманская область	2005272.0	murmansk	RU-MUR	1041162860.0	66.96334076	30.34160614	Алакуртти	station	Октябрьская
192	Мурманское	14802	Мурманская область	2004383.0	murmansk	RU-MUR	276765074.0	67.08101654	32.26623154	Белое Море	station	Октябрьская
193	Мурманское	14817	Мурманская область		murmansk	RU-MUR	1529424155.0	67.10503387	32.25590897	1157 км	halt	Октябрьская
194	Мурманское	14821	Мурманская область	2004411.0	murmansk	RU-MUR	276765907.0	67.14674377	32.27391052	Проливы	station	Октябрьская
195	Мурманское	14906	Мурманская область	2004715.0	murmansk	RU-MUR	1652244511.0	67.16020966	32.41910172	Кандалакша	station	Октябрьская
196	Мурманское	14910	Мурманская область		murmansk	RU-MUR				1175 км		Октябрьская
197	Мурманское	14925	Мурманская область		murmansk	RU-MUR				1178 км		Октябрьская
198	Мурманское	14930	Мурманская область	2005343.0	murmansk	RU-MUR	1421752670.0	67.24208832	32.42760468	Плесозеро	halt	Октябрьская
199	Мурманское	14944	Мурманская область		murmansk	RU-MUR	276767088.0	67.27738953	32.45306396	1186 км	halt	Октябрьская
200	Мурманское	14959	Мурманская область		murmansk	RU-MUR	1529392922.0	67.29837036	32.47212982	1189 км	halt	Октябрьская
201		14963	Мурманская область		murmansk	RU-MUR	276766937.0	67.22274017	32.43207932	1180 км	halt	Октябрьская
202	Мурманское	15006	Мурманская область		murmansk	RU-MUR				Кандалакша (перев.)		Октябрьская
203	Мурманское	15102	Мурманская область	2004384.0	murmansk	RU-MUR	276767255.0	67.31718445	32.49833679	Пинозеро	station	Октябрьская
204	Мурманское	15114	Мурманская область	2004909.0	murmansk	RU-MUR	1616428107.0	67.34902954	32.29129028	Червас	halt	Октябрьская
205	Мурманское	15129	Мурманская область	2004910.0	murmansk	RU-MUR				Пасма		Октябрьская
206	Мурманское	15133	Мурманская область	2004385.0	murmansk	RU-MUR	632002408.0	67.49334717	31.90638351	Уполокша	station	Октябрьская
207	Мурманское	15148	Мурманская область		murmansk	RU-MUR				54 км		Октябрьская
208	Мурманское	15152	Мурманская область	2005129.0	murmansk	RU-MUR	1624802230.0	67.57423401	31.38875198	Калюжный	halt	Октябрьская
209	Мурманское	15167	Мурманская область		murmansk	RU-MUR				70 км		Октябрьская
210		15171	Мурманская область		murmansk	RU-MUR	1614390169.0	67.38739777	32.1379509	19 км	station	Октябрьская
211	Мурманское	15203	Мурманская область	2004386.0	murmansk	RU-MUR	1616846887.0	67.5812912	31.1423893	Ёна	station	Октябрьская
212	Мурманское	15307	Мурманская область	2004387.0	murmansk	RU-MUR				Куропта		Октябрьская
213	Мурманское	15311	Мурманская область		murmansk	RU-MUR				112 км		Октябрьская
214	Мурманское	15326	Мурманская область		murmansk	RU-MUR				Куропта		Октябрьская
215		15345	Мурманская область		murmansk	RU-MUR	1376100374.0	67.51151276	30.72481918	105 км	halt	Октябрьская
216	Мурманское	15400	Мурманская область	2004388.0	murmansk	RU-MUR	1245464207.0	67.54933167	30.48161125	Ковдор	station	Октябрьская
217	Мурманское	15504	Мурманская область	2004389.0	murmansk	RU-MUR	935558807.0	67.3732605	32.48715973	Полярные Зори	station	Октябрьская
218	Мурманское	15519	Мурманская область	2005128.0	murmansk	RU-MUR	937914035.0	67.41060638	32.61083984	Восточная Губа	halt	Октябрьская
219	Мурманское	15608	Мурманская область	2004716.0	murmansk	RU-MUR	276768726.0	67.44267273	32.77815628	Африканда	station	Октябрьская
220	Мурманское	15612	Мурманская область	2004390.0	murmansk	RU-MUR	935513726.0	67.43166351	32.99613953	Хабозеро	halt	Октябрьская
221	Мурманское	15627	Мурманская область	2004391.0	murmansk	RU-MUR	3239488020.0	67.45955658	33.18715668	Питкуль	halt	Октябрьская
222	Мурманское	15631	Мурманская область	2004717.0	murmansk	RU-MUR	635753172.0	67.56429291	33.36981583	Апатиты 1	station	Октябрьская
223	Мурманское	15646	Мурманская область		murmansk	RU-MUR	3416154016.0	67.6016922	33.37147903	1268 км	station	Октябрьская
224	Мурманское	15650	Мурманская область		murmansk	RU-MUR	8492221587.0	67.54772186	33.39494705	Апатиты-Сортировочная	station	Октябрьская
225	Мурманское	15701	Мурманская область		murmansk	RU-MUR				Кандалакша (эксп.)		Октябрьская
226	Мурманское	15716	Мурманская область		murmansk	RU-MUR	477551224.0	67.57054138	33.41749191	3 км	halt	Октябрьская
227	Мурманское	15720	Мурманская область		murmansk	RU-MUR	4780924546.0	67.38118744	32.54050064	Нива	station	Октябрьская
228	Мурманское	15735	Мурманская область		murmansk	RU-MUR	1528721636.0	67.56421661	33.49764633	7 км	halt	Октябрьская
229	Мурманское	15740	Мурманская область		murmansk	RU-MUR	944690286.0	67.55541992	33.60768127	12 км	halt	Октябрьская
230	Мурманское	15805	Мурманская область	2005271.0	murmansk	RU-MUR	944690549.0	67.56137848	33.62499237	Титан	station	Октябрьская
231		15913	Мурманская область		murmansk	RU-MUR				АЙКУВЕН		Октябрьская
232	Мурманское	15928	Мурманская область		murmansk	RU-MUR				Юкспориок		Октябрьская
233	Мурманское	16009	Мурманская область		murmansk	RU-MUR	1194364378.0	67.59225464	33.42045975	Апатиты-2	station	Октябрьская
234	Мурманское	16013	Мурманская область		murmansk	RU-MUR	3416157742.0	67.52565765	33.38106918	1256 км	halt	Октябрьская
235		16117	Мурманская область		murmansk	RU-MUR				АПАТИТЫ-ТИТАН		Октябрьская
236	Мурманское	16121	Мурманская область	2004718.0	murmansk	RU-MUR	937914065.0	67.67337799	33.21194839	Хибины	station	Октябрьская
237	Мурманское	16136	Мурманская область	2004392.0	murmansk	RU-MUR	937914067.0	67.76690674	33.18967056	Нефелиновые Пески	station	Октябрьская
238	Мурманское	16140	Мурманская область	2004719.0	murmansk	RU-MUR	937914133.0	67.8522644	33.25865173	Имандра	station	Октябрьская
239	Мурманское	16155	Мурманская область		murmansk	RU-MUR	1375018575.0	67.81730652	33.20023346	1297 км	halt	Октябрьская
240		16165	Мурманская область		murmansk	RU-MUR				АПАТИТЫ-БП 1256 КМ		Октябрьская
241	Мурманское	16174	Мурманская область		murmansk	RU-MUR				Апатиты блокпост 1268 км		Октябрьская
242	Мурманское	16210	Мурманская область		murmansk	RU-MUR	267213786.0	67.87563324	33.29347229	1303 км	halt	Октябрьская
243	Мурманское	16225	Мурманская область	2004393.0	murmansk	RU-MUR	631467967.0	67.94339752	33.33468246	Рудный	halt	Октябрьская
244	Мурманское	16231	Мурманская область	2004721.0	murmansk	RU-MUR	937914258.0	67.99667358	33.39471054	Куна	station	Октябрьская
245	Мурманское	16244	Мурманская область	2004394.0	murmansk	RU-MUR	267213737.0	68.04699707	33.36455536	Ягельный Бор	station	Октябрьская
246	Мурманское	16259	Мурманская область		murmansk	RU-MUR	3416148006.0	68.10601807	33.31924438	1333 км	halt	Октябрьская
247	Мурманское	16308	Мурманская область	2004722.0	murmansk	RU-MUR	2001649838.0	68.13611603	33.31286621	Оленегорск	station	Октябрьская
248	Мурманское	16314	Мурманская область		murmansk	RU-MUR	1529240690.0	68.08947754	33.27084351	6 км	halt	Октябрьская
249	Мурманское	16329	Мурманская область		murmansk	RU-MUR	1529240687.0	68.04249573	33.21574402	12 км	halt	Октябрьская
250	Мурманское	16333	Мурманская область		murmansk	RU-MUR	1529240688.0	68.02867889	33.14848328	16 км	halt	Октябрьская
251	Мурманское	16348	Мурманская область		murmansk	RU-MUR	1529240689.0	67.98519897	32.98561478	25 км	halt	Октябрьская
252	Мурманское	16352	Мурманская область		murmansk	RU-MUR	609147565.0	67.96859741	32.94327545	27 км	halt	Октябрьская
