	division	esr	region	express	source	iso3166	osm_id	lat	lon	name	station_type_en	railway
17741	Пензенское	633103	Пензенская область	2024563.0	penz	RU-PNZ	6841410054.0	53.51761246	43.67745209	Нижний Ломов	station	Куйбышевская
17743	Пензенское	633211	Пензенская область	2024887.0	penz	RU-PNZ	1082944388.0	53.27272415	43.7553978	Варежка	halt	Куйбышевская
17744	Пензенское	633226	Пензенская область	2024578.0	penz	RU-PNZ	1082944753.0	53.23653412	43.84912491	Адикаевка	station	Куйбышевская
17745	Пензенское	633230	Пензенская область	2024905.0	penz	RU-PNZ	1082944294.0	53.22577286	43.95175934	Кевда	halt	Куйбышевская
17746	Пензенское	633245	Пензенская область	2025802.0	penz	RU-PNZ	1082945156.0	53.19707489	43.9916687	Сельмаш	halt	Куйбышевская
17747	Пензенское	633254	Пензенская область	2024577.0	penz	RU-PNZ				Титово		Куйбышевская
17748	Пензенское	633300	Пензенская область	2024579.0	penz	RU-PNZ	3991186557.0	53.17853928	44.02991486	Белинская	station	Куйбышевская
17749	Пензенское	633315	Пензенская область	2025900.0	penz	RU-PNZ	209155048.0	53.1308403	44.15958405	Лермонтовский	station	Куйбышевская
17750	Пензенское	633404	Пензенская область	2024581.0	penz	RU-PNZ	208731791.0	53.15333557	44.27776718	Студенец	station	Куйбышевская
17751	Пензенское	633419	Пензенская область	2024917.0	penz	RU-PNZ	208731883.0	53.20061874	44.39608002	Панчулидзиевка	halt	Куйбышевская
17752	Пензенское	633508	Пензенская область	2024796.0	penz	RU-PNZ	208748321.0	53.27602386	44.47020721	Симанщина	station	Куйбышевская
17753	Пензенское	633512	Пензенская область	2024923.0	penz	RU-PNZ	613014301.0	53.28448486	44.59256363	Пословка	halt	Куйбышевская
17754	Пензенское	633527	Пензенская область	2026027.0	penz	RU-PNZ	208748434.0	53.2658844	44.56975174	674 км	halt	Куйбышевская
17755	Пензенское	633616	Пензенская область	2024582.0	penz	RU-PNZ	208928479.0	53.27568817	44.71144485	Рамзай	station	Куйбышевская
17756	Пензенское	633705	Пензенская область	2024583.0	penz	RU-PNZ	2060620707.0	53.20441818	45.1969986	Селикса	station	Куйбышевская
17757	Пензенское	633716	Пензенская область	2026030.0	penz	RU-PNZ	300143185.0	53.17546463	45.20962143	727 км	halt	Куйбышевская
17758	Пензенское	633716	Пензенская область	2026030.0	penz	RU-PNZ	2023468559.0	53.17344284	45.20690918	727 км	halt	Куйбышевская
17759	Пензенское	633809	Пензенская область	2024584.0	penz	RU-PNZ				Леонидовка		Куйбышевская
17760	Пензенское	633813	Пензенская область	2026031.0	penz	RU-PNZ	2060620708.0	53.13739014	45.32152939	739 км	halt	Куйбышевская
17761	Пензенское	633828	Пензенская область	2026032.0	penz	RU-PNZ	2060620709.0	53.13399124	45.35175705	742 км	halt	Куйбышевская
17762	Пензенское	633917	Пензенская область	2025804.0	penz	RU-PNZ	2023468581.0	53.11159515	45.48326111	752 км	halt	Куйбышевская
17763	Пензенское	633921	Пензенская область	2025805.0	penz	RU-PNZ	913847333.0	53.10398483	45.55239868	756 км	halt	Куйбышевская
17764	Пензенское	633921	Пензенская область	2025805.0	penz	RU-PNZ	4911403071.0	53.10445404	45.54969788	756 км	halt	Куйбышевская
17765	Пензенское	633936	Пензенская область	2024585.0	penz	RU-PNZ	2023468527.0	53.11505127	45.41486359	Шнаево	halt	Куйбышевская
17766	Пензенское	634002	Пензенская область	2024966.0	penz	RU-PNZ	913847351.0	53.10556412	45.58208466	Канаевка	station	Куйбышевская
17767	Пензенское	634500	Пензенская область	2024586.0	penz	RU-PNZ	913847386.0	53.10838318	45.68960571	Асеевская	station	Куйбышевская
17768	Пензенское	634515	Пензенская область	2025806.0	penz	RU-PNZ	1356981143.0	53.10668564	45.81523895	Никоново	halt	Куйбышевская
17769	Пензенское	634604	Пензенская область	2024587.0	penz	RU-PNZ	1417448454.0	53.14071274	45.91936493	Чаадаевка	station	Куйбышевская
17770	Пензенское	634619	Пензенская область	2025807.0	penz	RU-PNZ	1417448452.0	53.14300537	45.98366547	Пионерлагерь	halt	Куйбышевская
17771	Пензенское	634623	Пензенская область	2024588.0	penz	RU-PNZ				Кодада		Куйбышевская
17772	Пензенское	634638	Пензенская область	2024589.0	penz	RU-PNZ	1417448445.0	53.14881897	46.12184143	Елюзань	station	Куйбышевская
17773	Пензенское	634642	Пензенская область	2026033.0	penz	RU-PNZ	1417448588.0	53.14598083	46.18662262	802 км	halt	Куйбышевская
17774	Пензенское	634708	Пензенская область	2024591.0	penz	RU-PNZ	300143059.0	53.14019394	46.23329926	Сюзюм	station	Куйбышевская
17775	Пензенское	634712	Пензенская область	2025808.0	penz	RU-PNZ				Благодатка		Куйбышевская
17776	Пензенское	634727	Пензенская область	2025809.0	penz	RU-PNZ	3660289936.0	53.11064148	46.48883438	Поселки	halt	Куйбышевская
17777	Пензенское	634731	Пензенская область	2026034.0	penz	RU-PNZ				809 км		Куйбышевская
17778	Пензенское	634746	Пензенская область	2026035.0	penz	RU-PNZ				813 км		Куйбышевская
17779	Пензенское	634750	Пензенская область	2026037.0	penz	RU-PNZ	3284943353.0	53.11722946	46.56957626	829 км	halt	Куйбышевская
