from_esr;from_name;to_esr;to_name
243629;Велетьма;243633;ОП Сонино
243633;ОП Сонино;243648;Родяково
243648;Родяково;243718;ОП Ост. Пункт 324 км
243718;ОП Ост. Пункт 324 км;243722;ОП Валтово
243722;ОП Валтово;243737;ОП Степурино
243737;ОП Степурино;243783;Теша
243783;Теша;243811;ОП Вердеевка
243811;ОП Вердеевка;243826;Венец
243826;Венец;243915;ОП Саконы
243915;ОП Саконы;244000;Мухтолово
244000;Мухтолово;244015;ОП Личадеево
244015;ОП Личадеево;244021;Балахониха
244021;Балахониха;244034;ОП Маяк
244034;ОП Маяк;244049;ОП Ост. Пункт 386 км
244049;ОП Ост. Пункт 386 км;244157;ОП Костылиха
244119;ОП Шумлейка;244123;ОП Слезавка
244123;ОП Слезавка;244138;Разъезд 408 км
244138;Разъезд 408 км;244142;ОП Ост. Пункт 409 км
244142;ОП Ост. Пункт 409 км;244208;Арзамас II
244157;ОП Костылиха;244119;ОП Шумлейка
;;;
244208;Арзамас II;244212;Трактовый-Арзамасский (обп)
;;;
244208;Арзамас II;245605;Арзамас I
244212;Трактовый-Арзамасский (обп);244227;ОП Щедровка
244227;ОП Щедровка;244301;Бобыльская
244301;Бобыльская;244405;Вадок
244405;Вадок;244417;ОП Ревезень
244417;ОП Ревезень;244602;Перевозская
244602;Перевозская;244617;ОП Кемары
244617;ОП Кемары;244706;Смагино
244706;Смагино;244710;Каменище
244710;Каменище;244814;ОП Камкино
244814;ОП Камкино;244903;Тарталей
244903;Тарталей;245003;Сергач
245003;Сергач;245018;ОП Ачка
245018;ОП Ачка;245022;ОП Ост. Пункт 538 км
245022;ОП Ост. Пункт 538 км;245037;Андосово (обп)
245037;Андосово (обп);245041;ОП Юморга
245041;ОП Юморга;245107;Пильна
245107;Пильна;245227;Княжиха
245215;ОП Кумашка;245304;Шумерля
245227;Княжиха;245215;ОП Кумашка
245304;Шумерля;245319;ОП Мыслец
245319;ОП Мыслец;245412;ОП Ост. Пункт 604 км
245412;ОП Ост. Пункт 604 км;245427;ОП Пинер
245427;ОП Пинер;245431;ОП Ост. Пункт 614 км
245431;ОП Ост. Пункт 614 км;245446;ОП Чаркли
245446;ОП Чаркли;245450;ОП Ост. Пункт 623 км
245450;ОП Ост. Пункт 623 км;245501;Вурнары
245501;Вурнары;245516;ОП Ост. Пункт 632 км
245516;ОП Ост. Пункт 632 км;245520;ОП Апнерка
245520;ОП Апнерка;245535;ОП Ост. Пункт 645 км
245535;ОП Ост. Пункт 645 км;245546;ОП Ачакс
245546;ОП Ачакс;245554;ОП Ост. Пункт 652 км
245554;ОП Ост. Пункт 652 км;245569;ОП Мокры
245569;ОП Мокры;245573;ОП Ост. Пункт 661 км
245573;ОП Ост. Пункт 661 км;248105;Канаш
245605;Арзамас I;245709;Пешелань
;;;
245709;Пешелань;245802;Шатки
245802;Шатки;245817;Поя
245802;Шатки;246025;Сатис
245817;Поя;246307;Лукоянов
246025;Сатис;246103;Берещино
246103;Берещино;246203;Первомайск-Горьковский
;;;
246307;Лукоянов;246311;Веселей (рзд)
246311;Веселей (рзд);246326;Николай-Дар
246326;Николай-Дар;246519;Арзинка
246519;Арзинка;246608;Ужовка
246608;Ужовка;246612;Кендя (рзд)
246612;Кендя (рзд);246716;ОП Ост. Пункт 97 км
246716;ОП Ост. Пункт 97 км;246720;Кемля
246720;Кемля;246735;ОП Ост. Пункт 91 км
246735;ОП Ост. Пункт 91 км;246805;Оброчное
246805;Оброчное;246818;ОП Ост. Пункт 82 км
246818;ОП Ост. Пункт 82 км;246824;ОП Ост. Пункт 76 км
246824;ОП Ост. Пункт 76 км;246839;Атьма
246839;Атьма;246913;ОП Платформа 67 км
246913;ОП Платформа 67 км;246928;ОП Ост. Пункт 63 км
246928;ОП Ост. Пункт 63 км;247009;Красный Узел
;;;
247009;Красный Узел;247013;ОП Сахарный Завод
247009;Красный Узел;641673;ОП Ост. Пункт 54 км
247013;ОП Сахарный Завод;247066;ОП Ромодановский
247028;ОП Кочуново;247032;Рейтарский (рзд)
247032;Рейтарский (рзд);247047;ОП Ремезенки
247047;ОП Ремезенки;247051;Огаревка (рзд)
247051;Огаревка (рзд);247102;Чамзинка
247066;ОП Ромодановский;247028;ОП Кочуново
247102;Чамзинка;247117;ОП Ост. Пункт 98 км
247117;ОП Ост. Пункт 98 км;247206;Нуя
247206;Нуя;247210;Мачкассы (рзд)
247210;Мачкассы (рзд);247225;Разъезд 118 км
247225;Разъезд 118 км;247309;Атяшево
247309;Атяшево;247314;ОП Ост. Пункт 133 км
247314;ОП Ост. Пункт 133 км;247329;Бобоедово (рзд)
247329;Бобоедово (рзд);247333;ОП Ост. пункт 148 км
247333;ОП Ост. пункт 148 км;247403;Ардатов
247403;Ардатов;247507;Светотехника
247507;Светотехника;247600;Алатырь
247600;Алатырь;247704;Алтышево
247704;Алтышево;247719;Разъезд 199 км
247719;Разъезд 199 км;247723;Атрат (рзд)
247723;Атрат (рзд);247738;ОП Ост. Пункт 215 км
247738;ОП Ост. Пункт 215 км;247808;Киря
247808;Киря;247812;Разъезд 235 км
247812;Разъезд 235 км;247901;Буинск
247901;Буинск;247916;ОП Ост. Пункт 252 км
247916;ОП Ост. Пункт 252 км;248001;Ибреси
248001;Ибреси;248016;Разъезд 265 км
248016;Разъезд 265 км;248020;Разъезд 275 км
248020;Разъезд 275 км;248035;ОП Янгличи
248035;ОП Янгличи;248042;Разъезд 289 км
248042;Разъезд 289 км;248105;Канаш
;;;
248105;Канаш;248158;ОП Алешево
;;;
248105;Канаш;248119;ОП Платформа 91 км
248119;ОП Платформа 91 км;248124;Малый Цивиль (рзд)
248124;Малый Цивиль (рзд);248139;ОП Атыково
248139;ОП Атыково;248143;ОП Платформа 74 км
248143;ОП Платформа 74 км;248209;Траки (рзд)
248158;ОП Алешево;248162;ОП Кибечи
248162;ОП Кибечи;248177;ОП Платформа 684 км
248177;ОП Платформа 684 км;248730;Шоркистры
248209;Траки (рзд);248302;Цивильск
248302;Цивильск;248317;ОП Ост. Пункт 46 км
248317;ОП Ост. Пункт 46 км;248374;ОП Янорсово
248321;Разъезд 38 км;248361;ОП Хорнвары
248336;ОП Ост. Пункт 32 км;248340;ОП Ост. Пункт 28 км
248340;ОП Ост. Пункт 28 км;248355;Шоркино (рзд)
248355;Шоркино (рзд);248389;ОП Мижеры
248361;ОП Хорнвары;248336;ОП Ост. Пункт 32 км
248374;ОП Янорсово;248321;Разъезд 38 км
248389;ОП Мижеры;248425;ОП Ишлей
248410;Пост 9 км;248504;Чебоксары
;;;
248425;ОП Ишлей;248410;Пост 9 км
;;;
248603;Новочебоксарск;248410;Пост 9 км
248711;ОП Батеево;248726;ОП Чубаево
248726;ОП Чубаево;248800;Урмары
248730;Шоркистры;248711;ОП Батеево
248800;Урмары;248815;ОП Тансарино
248815;ОП Тансарино;248823;ОП Чешлама
248823;ОП Чешлама;248834;ОП Ост. Пункт 722 км
248834;ОП Ост. Пункт 722 км;248904;Тюрлема
248904;Тюрлема;248919;ОП Воробьевский
248919;ОП Воробьевский;248923;ОП Ширданы
248923;ОП Ширданы;248938;ОП Платформа 746 км
248938;ОП Платформа 746 км;249004;Свияжск
;;;
249004;Свияжск;249019;ОП Ост. Пункт 753 км
249004;Свияжск;249038;Ходяшево (рзд)
249019;ОП Ост. Пункт 753 км;249023;ОП Волга-Пост
249023;ОП Волга-Пост;251201;Зеленый Дол
249038;Ходяшево (рзд);249057;ОП Бишбатман
249042;ОП Ост. Пункт 21 км;249108;Албаба
249057;ОП Бишбатман;249042;ОП Ост. Пункт 21 км
249108;Албаба;249127;ОП Утяшки
249112;Кубня (рзд);249131;ОП Шушерма
249127;ОП Утяшки;249112;Кубня (рзд)
249131;ОП Шушерма;249201;Куланга
249201;Куланга;249216;ОП Ост. Пункт 55 км
249216;ОП Ост. Пункт 55 км;249220;Ключи (рзд)
249220;Ключи (рзд);249305;Каратун
249305;Каратун;249606;Кильдуразы
249324;ОП Платформа 95 км;249339;ОП Лощи
249339;ОП Лощи;249409;Буа
249409;Буа;249413;ОП Бюрганы
249413;ОП Бюрганы;249502;Бурундуки
249502;Бурундуки;249517;ОП Елхово
249517;ОП Елхово;645308;Цильна
249606;Кильдуразы;249324;ОП Платформа 95 км
;;;
250001;Юдино;250016;ОП Ост. Пункт 787 км
250001;Юдино;250105;Новое Аракчино
250016;ОП Ост. Пункт 787 км;250938;ОП Левченко
250020;ОП ВРД;250001;Юдино
250035;ОП Займище;250020;ОП ВРД
250040;ОП Обсерватория;250035;ОП Займище
250054;ОП Платформа 774 км;250040;ОП Обсерватория
250069;ОП Ост. Пункт 771 км;250054;ОП Платформа 774 км
250105;Новое Аракчино;250116;ОП Старое Аракчино
250116;ОП Старое Аракчино;250209;Лагерная
250209;Лагерная;250213;ОП Лагерная
250213;ОП Лагерная;250228;ОП Адмиралтейская Слобода
250228;ОП Адмиралтейская Слобода;250302;Казань
250302;Казань;250406;Казань (перев.)
250302;Казань;250707;Вахитово
;;;
250603;Тихорецкая;250726;ОП Березовая Роща
250707;Вахитово;250711;ОП Ометьево-2
250707;Вахитово;250603;Тихорецкая
250711;ОП Ометьево-2;250800;Ометьево
250726;ОП Березовая Роща;250730;Комбинат
250730;Комбинат;250745;Юбилейная
250745;Юбилейная;250754;ОП Столбище
250754;ОП Столбище;250764;Аэропорт
;;;
250800;Ометьево;250815;ОП Новаторов
250815;ОП Новаторов;250820;ОП Компрессорный
250820;ОП Компрессорный;251004;Дербышки
250904;Восстание;250919;Восстание-Пассажирская
250919;Восстание-Пассажирская;250923;ОП Ост. Пункт 795 км
250923;ОП Ост. Пункт 795 км;250942;ОП Ост. Пункт 797 км
250938;ОП Левченко;250904;Восстание
250942;ОП Ост. Пункт 797 км;251004;Дербышки
;;;
251004;Дербышки;251019;ОП Платформа 804 км
;;;
251019;ОП Платформа 804 км;251023;ОП Ост. Пункт 807 км
251023;ОП Ост. Пункт 807 км;253103;Кендери
251108;Васильево;250069;ОП Ост. Пункт 771 км
251112;ОП Атлашкино;251127;ОП Ост. Пункт 766 км
251127;ОП Ост. Пункт 766 км;251108;Васильево
;;;
251201;Зеленый Дол;251112;ОП Атлашкино
251201;Зеленый Дол;251305;Паратск
251201;Зеленый Дол;251216;ОП Гари
251216;ОП Гари;251606;Помары
251305;Паратск;251428;Краснозаринский
251413;ОП Марбумкомбинат;251502;Волжск
251428;Краснозаринский;251413;ОП Марбумкомбинат
;;;
251606;Помары;251610;ОП Яльчевский
251610;ОП Яльчевский;251625;ОП Платформа 32 км
251625;ОП Платформа 32 км;251630;ОП Илеть
251630;ОП Илеть;251714;ОП Платформа 43 км
251714;ОП Платформа 43 км;251803;Шелангер
251803;Шелангер;251907;Суслонгер
251907;Суслонгер;252007;Кундыш
252007;Кундыш;252100;Сурок
252100;Сурок;252219;Пемба
252219;Пемба;252312;Куяр
252312;Куяр;252401;Йошкар-Ола
252401;Йошкар-Ола;252416;ОП Ост. Пункт 108 км
252416;ОП Ост. Пункт 108 км;252420;Аксаматово
252420;Аксаматово;252505;Нолька
252505;Нолька;252517;ОП Платформа 126 км
252517;ОП Платформа 126 км;252524;ОП Платформа 131 км
252524;ОП Платформа 131 км;252806;Нужьялы
252806;Нужьялы;252810;ОП Ост. Пункт 137 км
252810;ОП Ост. Пункт 137 км;252825;ОП Турша
252825;ОП Турша;252914;ОП Платформа 151 км
252914;ОП Платформа 151 км;252929;ОП Табашино
252929;ОП Табашино;252933;ОП Ост. Пункт 165 км
252933;ОП Ост. Пункт 165 км;252948;ОП Ост. Пункт 171 км
252948;ОП Ост. Пункт 171 км;253008;Яранск
;;;
253103;Кендери;253207;Высокая Гора
253207;Высокая Гора;253211;ОП Каменка-Санаторий
253211;ОП Каменка-Санаторий;253226;ОП Калинино
253226;ОП Калинино;253300;Бирюли
253300;Бирюли;253315;ОП Ост. Пункт 823 км
253315;ОП Ост. Пункт 823 км;253327;ОП Чепчуги
253327;ОП Чепчуги;253404;Куркачи
253404;Куркачи;253419;ОП Ост. Пункт 835 км
253419;ОП Ост. Пункт 835 км;253423;ОП Камаево
253423;ОП Камаево;253438;ОП Чурилино
253438;ОП Чурилино;253442;ОП Чулпаново
253442;ОП Чулпаново;253457;ОП Платформа 849 км
253457;ОП Платформа 849 км;253508;Арск
253508;Арск;253512;ОП Чекурча
253512;ОП Чекурча;253527;ОП Ост. Пункт 871 км
253527;ОП Ост. Пункт 871 км;253531;Корса
253531;Корса;253546;ОП Ост. Пункт 880 км
253546;ОП Ост. Пункт 880 км;253550;ОП Миндюш
253550;ОП Миндюш;253601;Шемордан
253601;Шемордан;253616;Иштуган
253616;Иштуган;253620;Коинсар
253620;Коинсар;253635;ОП Ост. Пункт 915 км
253635;ОП Ост. Пункт 915 км;253646;ОП Состамак
253646;ОП Состамак;253654;ОП Братья Комаровы
253654;ОП Братья Комаровы;253705;Кукмор
253705;Кукмор;253712;Ост. пункт 934 км
253712;Ост. пункт 934 км;253809;Вятские Поляны
253809;Вятские Поляны;253813;ОП Ост. Пункт 942 км
253813;ОП Ост. Пункт 942 км;253902;Ямное
253902;Ямное;254002;Заструг
254002;Заструг;254106;Сосновка
254106;Сосновка;254110;ОП Ост. Пункт 962 км
254110;ОП Ост. Пункт 962 км;254125;ОП Кочетло
254125;ОП Кочетло;254203;Кизнер
254203;Кизнер;254318;ОП Ягул
254318;ОП Ягул;254426;Саркуз
254411;ОП Мултан;254522;Люга
254426;Саркуз;254411;ОП Мултан
254515;ОП Сюгаил;254604;Можга
254522;Люга;254515;ОП Сюгаил
254604;Можга;254619;ОП Чумойтло
254619;ОП Чумойтло;254708;Пычас
254708;Пычас;254712;ОП Ост. Пункт 1050 км
254712;ОП Ост. Пункт 1050 км;254727;Карамбай
254727;Карамбай;254835;Уром
254816;ОП Гожня;254820;ОП Ост. Пункт 1079 км
254820;ОП Ост. Пункт 1079 км;254905;Агрыз
254835;Уром;254816;ОП Гожня
;;;
254905;Агрыз;255217;Ижбобья
254905;Агрыз;254939;ОП Успьян
254905;Агрыз;254918;ОП Ост. пункт 4 км
254918;ОП Ост. пункт 4 км;254924;ОП Ост. пункт 9 км
254924;ОП Ост. пункт 9 км;254996;Юски
254939;ОП Успьян;256027;Кичево
254996;Юски;255310;ОП Ост. Пункт 17 км
;;;
;;;
255113;Мукшур;255109;Алнаши
255217;Ижбобья;255221;Терси
255221;Терси;255113;Мукшур
255310;ОП Ост. Пункт 17 км;255344;ОП Совхозный
255325;Лудзя (рзд);255332;ОП Платформа 27 км
255332;ОП Платформа 27 км;255409;Ижевск
255344;ОП Совхозный;255325;Лудзя (рзд)
255409;Ижевск;255927;ОП Лесозаводская
255409;Ижевск;255503;Позимь
255503;Позимь;255607;Вожой
255607;Вожой;255611;ОП Платформа 58 км
255611;ОП Платформа 58 км;255626;ОП Июль
255626;ОП Июль;255630;ОП Болгуры
255630;ОП Болгуры;255700;Кварса
255700;Кварса;255804;Воткинск
;;;
255908;Заводская;255912;ОП Воложка
255912;ОП Воложка;276904;Люкшудья
255927;ОП Лесозаводская;255908;Заводская
256012;ОП Сундуково;256135;Бугрыш
256027;Кичево;256012;ОП Сундуково
256116;ОП Совхоз Удмурский;256120;ОП Шевырялово
256120;ОП Шевырялово;256205;Сарапул
256135;Бугрыш;256116;ОП Совхоз Удмурский
256205;Сарапул;256506;Армязь
256506;Армязь;257015;Шолья
256506;Армязь;256510;ОП Ост. Пункт 6 км
256510;ОП Ост. Пункт 6 км;256525;ОП Ост. Пункт 12 км
256525;ОП Ост. Пункт 12 км;256604;Ужуиха
256604;Ужуиха;256614;ОП Ост. Пункт 27 км
256604;Ужуиха;257301;Каучук
256614;ОП Ост. Пункт 27 км;256703;Сайгатка
256703;Сайгатка;256807;Сайгатка (перев.)
;;;
257000;Кама;257104;Кама (перев.)
257000;Кама;257208;Кама (эксп.)
257015;Шолья;257000;Кама
257104;Кама (перев.);257208;Кама (эксп.)
;;;
257208;Кама (эксп.);257405;Камбарка
;;;
257405;Камбарка;257509;Амзя
257509;Амзя;257706;Карманово
257509;Амзя;257602;Нефтекамск
257602;Нефтекамск;257617;Нефтекамск-Пассажирский
;;;
257706;Карманово;257710;ОП Энергетик
257710;ОП Энергетик;257725;ОП Бадряш
257725;ОП Бадряш;257800;Янаул
257800;Янаул;257814;ОП Куюк
257814;ОП Куюк;257937;Рабак
257918;ОП Ост. Пункт 1253 км;257922;ОП Кинчак
257922;ОП Кинчак;258003;Куеда
257937;Рабак;257918;ОП Ост. Пункт 1253 км
258003;Куеда;258018;ОП Бикбардинский
258018;ОП Бикбардинский;258022;ОП Осиновая Гора
258022;ОП Осиновая Гора;258037;ОП Стреж
258037;ОП Стреж;258107;Чернушка
258107;Чернушка;258111;ОП Улык
258111;ОП Улык;258234;Трун (обп)
258215;ОП Ост. Пункт 1331 км;258224;ОП Агарзя
258224;ОП Агарзя;258304;Щучье Озеро
258234;Трун (обп);258215;ОП Ост. Пункт 1331 км
258304;Щучье Озеро;258319;ОП Атер
258319;ОП Атер;258427;Бартым
258412;ОП Сарс;258501;Чад
258427;Бартым;258412;ОП Сарс
258501;Чад;258624;ОП Ненастье
258610;Черная Речка;258709;Пудлинговый
258624;ОП Ненастье;258610;Черная Речка
258709;Пудлинговый;258802;Саранинский Завод
258802;Саранинский Завод;258906;Красноуфимск
258906;Красноуфимск;258910;ОП Ост. пункт 1441 км
258910;ОП Ост. пункт 1441 км;259006;Зюрзя
259006;Зюрзя;259100;Уфимка
259100;Уфимка;259114;ОП Осыплянский
259114;ОП Осыплянский;259129;ОП Ост. Пункт 1478 км
259129;ОП Ост. Пункт 1478 км;259133;Афанасьевский
259133;Афанасьевский;259218;Ключевая
259218;Ключевая;259434;ОП Кленовский
259415;ОП Шангин;259504;Бисертский Завод
259420;ОП Контугановский;259415;ОП Шангин
259434;ОП Кленовский;259420;ОП Контугановский
259504;Бисертский Завод;259519;ОП Киргишаны
259519;ОП Киргишаны;259523;ОП Чеботаево
259523;ОП Чеботаево;259608;Солдатка
;;;
;;;
260003;Нижний Новгород-Сортировочный;260037;ОП Ост. Пункт 435 км
260003;Нижний Новгород-Сортировочный;264907;Петряевка
260003;Нижний Новгород-Сортировочный;260107;Нижний Новгород-Автозавод
260003;Нижний Новгород-Сортировочный;261203;Костариха
260003;Нижний Новгород-Сортировочный;260111;Кустовая
260018;ОП Ост. Пункт 429 км;260022;ОП Платформа 431 км
260022;ОП Платформа 431 км;260003;Нижний Новгород-Сортировочный
260037;ОП Ост. Пункт 435 км;260200;Нижний Новгород-Московский
;;;
260111;Кустовая;264907;Петряевка
260111;Кустовая;260126;ОП Счастливая
;;;
260126;ОП Счастливая;260145;ОП Орловка
260145;ОП Орловка;264606;Доскино
260200;Нижний Новгород-Московский;260215;ОП Волга
260200;Нижний Новгород-Московский;261203;Костариха
260215;ОП Волга;265308;Толоконцево
261203;Костариха;261218;ОП Чаадаево
;;;
261218;ОП Чаадаево;261222;ОП Кооперативная
261222;ОП Кооперативная;261307;Починки
261307;Починки;261311;ОП Копосово
261307;Починки;261364;ОП Сормово
261311;ОП Копосово;261326;ОП Народная
261326;ОП Народная;261330;ОП Высокое
261330;ОП Высокое;261345;ОП Дубравная
261345;ОП Дубравная;261350;Козино
261350;Козино;261612;ОП Алешино
261364;ОП Сормово;261415;Варя
261415;Варя;261519;ОП Новое Сормово
;;;
261612;ОП Алешино;261627;Лукино
261627;Лукино;261805;Балахна
261805;Балахна;261909;Правдинск
261909;Правдинск;261913;ОП Ваняты
261913;ОП Ваняты;261928;ОП Могилицы
261928;ОП Могилицы;261932;Липовка
261932;Липовка;261947;ОП Шеляухово
261947;ОП Шеляухово;262009;Заволжье
262009;Заволжье;262013;ОП Ост. Пункт 58 км
;;;
262102;Петушки;262206;Костерево
;;;
262206;Костерево;262210;Болдино
262210;Болдино;262314;ОП Сушнево
262314;ОП Сушнево;262329;ОП Красная Охота
262329;ОП Красная Охота;262403;Ундол
262403;Ундол;262418;ОП Ост. Пункт 170 км
262418;ОП Ост. Пункт 170 км;262511;Колокша
262511;Колокша;262600;Юрьевец
262600;Юрьевец;262704;Владимир
;;;
262704;Владимир;262719;ОП Автоприбор
262704;Владимир;242611;ОП Платформа 10 км
262719;ОП Автоприбор;262723;ОП Боголюбово
262723;ОП Боголюбово;262812;ОП Лемешки
262812;ОП Лемешки;262827;ОП Выселки
262827;ОП Выселки;262831;ОП Карякинская
262831;ОП Карякинская;262941;Второво
;;;
262901;Новки II;263035;ОП Сергейцево
;;;
262916;ОП Новая Жизнь;262920;Тереховицы
262920;Тереховицы;262935;ОП Камешково
262935;ОП Камешково;263001;Новки I
262941;Второво;262916;ОП Новая Жизнь
;;;
263001;Новки I;263020;ОП Ост. Пункт 243 км
263001;Новки I;262901;Новки II
263020;ОП Ост. Пункт 243 км;263035;ОП Сергейцево
263035;ОП Сергейцево;263047;Федулово
263035;ОП Сергейцево;263047;Федулово
263047;Федулово;263054;ОП Ост. Пункт 253 км
263047;Федулово;263054;ОП Ост. Пункт 253 км
263054;ОП Ост. Пункт 253 км;263105;Ковров I
;;;
;;;
263105;Ковров I;263113;Ковров II
263105;Ковров I;240902;Ковров-Грузовой
263113;Ковров II;263213;Пост 262 км
263213;Пост 262 км;263340;ОП Гостюхино
263317;ОП Осипово;263321;ОП Ост. Пункт 273 км
263321;ОП Ост. Пункт 273 км;263336;ОП Крестниково
263336;ОП Крестниково;263355;Сарыево
263340;ОП Гостюхино;263317;ОП Осипово
263355;Сарыево;263410;ОП Ост. Пункт 288 км
263410;ОП Ост. Пункт 288 км;263425;Мстера
263425;Мстера;263432;ОП Сеньково
263432;ОП Сеньково;263707;Вязники
263707;Вязники;263711;ОП Платформа 324 км
263711;ОП Платформа 324 км;263828;ОП Денисово
263815;ОП Им. Войкова;263923;Чулково
263828;ОП Денисово;263815;ОП Им. Войкова
263919;ОП Молодники;264004;Гороховец
263923;Чулково;263919;ОП Молодники
264004;Гороховец;264019;ОП Галицкая
264019;ОП Галицкая;264108;Ильино
264108;Ильино;264146;ОП Ильиногорская
264108;Ильино;264112;ОП Чичерево
264112;ОП Чичерево;264127;Инженерная
264127;Инженерная;264216;Великое Озеро
264146;ОП Ильиногорская;264150;ОП Горбатовка
264150;ОП Горбатовка;264502;Сейма
264216;Великое Озеро;264319;Золино
264319;Золино;264413;Фролищи
;;;
264502;Сейма;264517;ОП Ост. Пункт 392 км
264517;ОП Ост. Пункт 392 км;264536;ОП Решетиха
264521;Жолнино;264610;ОП Пушкино
264536;ОП Решетиха;264521;Жолнино
264606;Доскино;260018;ОП Ост. Пункт 429 км
264606;Доскино;264907;Петряевка
;;;
264610;ОП Пушкино;264704;Дзержинск
264704;Дзержинск;264714;ОП Калининская
264714;ОП Калининская;264803;Игумново
264803;Игумново;264818;ОП Ворошиловская
264818;ОП Ворошиловская;264837;ОП Ост. Пункт 421 км
264837;ОП Ост. Пункт 421 км;264606;Доскино
264907;Петряевка;264957;ОП Нижний Новгород Стригино
;;;
;;;
264911;ОП Сартаково;264926;Окская
;;;
264926;Окская;264930;Пост 325 км
264926;Окская;269050;Пост 323 км
264926;Окская;269347;ОП Буревестник
264926;Окская;264930;Пост 325 км
264930;Пост 325 км;269402;Кудьма
;;;
;;;
264957;ОП Нижний Новгород Стригино;264911;ОП Сартаково
265007;Моховые Горы;265100;Моховые Горы (перев.)
265100;Моховые Горы (перев.);265204;Моховые Горы (эксп.)
;;;
265308;Толоконцево;265312;ОП Рекшино
265308;Толоконцево;265007;Моховые Горы
265312;ОП Рекшино;265401;Киселиха
265401;Киселиха;265416;ОП Шпалозавод
265416;ОП Шпалозавод;265505;Каликино
265505;Каликино;265609;Линда
265609;Линда;265613;ОП Кеза
265613;ОП Кеза;265628;Тарасиха
265628;Тарасиха;265717;ОП Осинки
265717;ОП Осинки;265721;ОП Ост. Пункт 506 км
265721;ОП Ост. Пункт 506 км;265806;Семенов
265806;Семенов;265810;Пост 75 км
265810;Пост 75 км;265900;Керженец
265900;Керженец;265914;ОП Озеро
265914;ОП Озеро;265929;ОП Каменный Овраг
265929;ОП Каменный Овраг;266005;Сухобезводное
266005;Сухобезводное;266014;ОП Перехватка
266005;Сухобезводное;266029;ОП Чибирь
266014;ОП Перехватка;266207;Ветлужская
266029;ОП Чибирь;266033;ОП Пруды
266033;ОП Пруды;266048;ОП Ост. Пункт 27 км
266048;ОП Ост. Пункт 27 км;266052;ОП Постой
266052;ОП Постой;266067;ОП Кайск
266067;ОП Кайск;266071;ОП Ост. Пункт 55 км
266071;ОП Ост. Пункт 55 км;266103;Лапшанга
;;;
266207;Ветлужская;266211;ОП Быструха
266211;ОП Быструха;266300;Шеманиха
266300;Шеманиха;266315;ОП Минеевка
266315;ОП Минеевка;266508;Уста
266508;Уста;266601;Урень
266601;Урень;266705;Арья
266705;Арья;266710;ОП Шалега
266710;ОП Шалега;266724;Обход
266724;Обход;266813;ОП Буренино
266813;ОП Буренино;266917;Зубанья
266917;Зубанья;267002;Шахунья
267002;Шахунья;267017;ОП Шестериково
267017;ОП Шестериково;267106;Тоншаево
267106;Тоншаево;267125;ОП Ост. Пункт 701 км
267110;ОП Янгарка;267134;ОП Ост. пункт 712 км
267125;ОП Ост. Пункт 701 км;267110;ОП Янгарка
267134;ОП Ост. пункт 712 км;267200;Пижма
267200;Пижма;267214;ОП Одошнур
267214;ОП Одошнур;267303;Буреполом
267303;Буреполом;267407;Шерстки
267407;Шерстки;267411;ОП Ост. пункт 747 км
267411;ОП Ост. пункт 747 км;267500;Ежиха
267500;Ежиха;267515;ОП Ежуры
267515;ОП Ежуры;267520;ОП Ост. Пункт 781 км
267520;ОП Ост. Пункт 781 км;267604;Иготино
267604;Иготино;267619;ОП Шакали
267619;ОП Шакали;267708;Котельнич II
267708;Котельнич II;267801;Котельнич I
;;;
267801;Котельнич I;267816;ОП Мокрицы
267801;Котельнич I;268151;ОП Даровица
267816;ОП Мокрицы;268202;Марадыковский
268113;ОП Ронжино;268128;Ацвеж
268128;Ацвеж;268132;ОП Капиданцы
268132;ОП Капиданцы;268147;Юма (рзд)
268147;Юма (рзд);308407;Свеча
268151;ОП Даровица;268113;ОП Ронжино
268202;Марадыковский;268325;Быстряги
268310;ОП Ост. Пункт 901 км;268429;Шалегово
268325;Быстряги;268310;ОП Ост. Пункт 901 км
268414;ОП Ост. Пункт 907 км;268503;Оричи
268429;Шалегово;268414;ОП Ост. Пункт 907 км
268503;Оричи;268518;ОП Социалистическая
268518;ОП Социалистическая;270804;Стрижи
268607;Пологовка;268611;Соловейко (рзд)
268611;Соловейко (рзд);244208;Арзамас II
268611;Соловейко (рзд);245605;Арзамас I
268626;ОП Ломовка;268607;Пологовка
268700;Сережа;268626;ОП Ломовка
268715;Черемас (рзд);268700;Сережа
268804;Сечуга;268715;Черемас (рзд)
268908;Суроватиха;268804;Сечуга
268912;Разъезд 281 км;268908;Суроватиха
268927;ОП Ост. Пункт 321 км;269046;Чаглово (рзд)
269012;Разъезд 296 км;269065;Шониха
269027;Зименки;269084;ОП Ост. Пункт 302 км
269031;Разъезд 310 км;269027;Зименки
269046;Чаглово (рзд);269031;Разъезд 310 км
269050;Пост 323 км;264930;Пост 325 км
269050;Пост 323 км;268927;ОП Ост. Пункт 321 км
269065;Шониха;269073;ОП Ост. Пункт 284 км
269073;ОП Ост. Пункт 284 км;268912;Разъезд 281 км
269084;ОП Ост. Пункт 302 км;269012;Разъезд 296 км
;;;
269116;ОП Абабково;269101;Металлист
269205;Ворсма;269116;ОП Абабково
269216;ОП Убежицы;269205;Ворсма
269224;ОП Выболово;269216;ОП Убежицы
269309;Кожевенное;269224;ОП Выболово
269313;ОП Стрелково;269309;Кожевенное
269328;ОП Ефимьево;269313;ОП Стрелково
