from_esr;from_name;to_esr;to_name
16308;Оленегорск;16634;Блок-пост 1340 км
16308;Оленегорск;16314;ОП Ост. Пункт 6 км
16314;ОП Ост. Пункт 6 км;16329;ОП Ост. Пункт 12 км
16329;ОП Ост. Пункт 12 км;16333;ОП Ост. Пункт 16 км
16333;ОП Ост. Пункт 16 км;16348;ОП Ост. Пункт 25 км
16348;ОП Ост. Пункт 25 км;16352;ОП Ост. Пункт 27 км
16352;ОП Ост. Пункт 27 км;16403;Мончегорск
;;;
16600;Лапландия;16627;Пулозеро
16627;Пулозеро;16719;Тайбола
16634;Блок-пост 1340 км;16600;Лапландия
16719;Тайбола;16761;Блок-пост 1381 км
16738;Блок-пост 1391 км;16757;Лопарская
16742;Кица;16738;Блок-пост 1391 км
16757;Лопарская;16831;Магнетиты
16761;Блок-пост 1381 км;16742;Кица
16812;ОП Ост. Пункт 1410 км;16954;Шонгуй
16831;Магнетиты;16812;ОП Ост. Пункт 1410 км
16916;ОП Ост. Пункт 1425 км;16920;Выходной
16920;Выходной;16935;ОП Ост. Пункт 1434 км
16935;ОП Ост. Пункт 1434 км;16946;ОП Ост. Пункт 1437 км
16946;ОП Ост. Пункт 1437 км;17001;Кола
16954;Шонгуй;16916;ОП Ост. Пункт 1425 км
;;;
17001;Кола;17209;Кола (эксп.)
17001;Кола;17016;Пост 9 км
17016;Пост 9 км;17105;Мурмаши
17035;ОП Ост. Пункт 1439 км;17041;ОП Ост. Пункт 1441 км
17041;ОП Ост. Пункт 1441 км;17054;ОП Ост. Пункт 1443 км
17054;ОП Ост. Пункт 1443 км;17073;ОП Ост. Пункт 1446 км
17073;ОП Ост. Пункт 1446 км;17088;ОП Ост. Пункт 1448 км
17088;ОП Ост. Пункт 1448 км;18305;Мурманск (перев.)
17105;Мурмаши;17158;ОП Платформа 23 км
17139;ОП Платформа 54 км;17143;ОП Платформа 61 км
17143;ОП Платформа 61 км;17482;Нял
17158;ОП Платформа 23 км;17302;Пяйве
17209;Кола (эксп.);17035;ОП Ост. Пункт 1439 км
17302;Пяйве;17139;ОП Платформа 54 км
17410;ОП Платформа 75 км;17425;ОП Платформа 85 км
17425;ОП Платформа 85 км;17437;ОП Платформа 90 км
17437;ОП Платформа 90 км;17444;Моккет
17444;Моккет;17463;ОП Платформа 101 км
17459;Титовка;17904;Луостари
17463;ОП Платформа 101 км;17478;ОП Платформа 109 км
17478;ОП Платформа 109 км;17459;Титовка
17482;Нял;17410;ОП Платформа 75 км
17904;Луостари;17919;ОП Семужная
17904;Луостари;17923;ОП Платформа 5 км
17919;ОП Семужная;18108;Заполярная
17923;ОП Платформа 5 км;18004;Печенга
;;;
18108;Заполярная;18201;Никель-Мурманский
;;;
18305;Мурманск (перев.);18409;Мурманск
18409;Мурманск;18502;Мурманск (эксп.)
18409;Мурманск;18413;ОП Платформа 2 км
18413;ОП Платформа 2 км;18428;ОП Платформа 3 км
